rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
74,frame_0075.jpg,30.0,0.4899,0.4244,0.2857,0.96,7,2,False,False
75,frame_0333.jpg,133.2,0.4892,0.6036,0.5714,0.08,8,4,False,False
76,frame_0224.jpg,89.6,0.4891,0.7588,0.2857,0.12,3,2,False,False
77,frame_0231.jpg,92.4,0.4891,0.4857,0.7143,0.16,7,5,False,False
78,frame_0087.jpg,34.8,0.4873,0.5254,0.4286,0.48,3,3,False,False
79,frame_0005.jpg,2.0,0.487,0.3168,0.4286,1.0,5,3,False,False
80,frame_0006.jpg,2.4,0.4865,0.3158,0.4286,1.0,5,3,False,False
81,frame_0011.jpg,4.4,0.486,0.4006,0.2857,1.0,4,2,False,False
82,frame_0015.jpg,6.0,0.4815,0.3915,0.2857,1.0,4,2,False,False
83,frame_0280.jpg,112.0,0.4784,0.5396,0.4286,0.4,7,3,False,False
84,frame_0175.jpg,70.0,0.4767,0.4129,0.7143,0.28,7,5,False,False
85,frame_0114.jpg,45.6,0.4762,0.4118,0.7143,0.28,6,5,False,False
86,frame_0298.jpg,119.2,0.4726,0.464,0.4286,0.56,5,3,False,False
87,frame_0012.jpg,4.8,0.4725,0.3736,0.2857,1.0,4,2,False,False
88,frame_0207.jpg,82.8,0.471,0.3649,0.4286,0.8,4,3,False,False
89,frame_0210.jpg,84.0,0.4708,0.4981,0.2857,0.68,2,2,False,False
90,frame_0170.jpg,68.0,0.4703,0.4915,0.4286,0.48,5,3,False,False
91,frame_0022.jpg,8.8,0.4682,0.2793,0.4286,1.0,5,3,False,False
92,frame_0010.jpg,4.0,0.468,0.3645,0.2857,1.0,3,2,False,False
93,frame_0178.jpg,71.2,0.4678,0.5287,0.5714,0.16,7,4,False,False
94,frame_0230.jpg,92.0,0.4675,0.6299,0.4286,0.12,8,3,False,False
95,frame_0029.jpg,11.6,0.466,0.3605,0.2857,1.0,3,2,False,False
96,frame_0112.jpg,44.8,0.466,0.5091,0.5714,0.2,5,4,False,False
97,frame_0386.jpg,154.4,0.4651,0.4914,0.5714,0.24,7,4,False,False
98,frame_0018.jpg,7.2,0.4629,0.3543,0.2857,1.0,5,2,False,False
99,frame_0330.jpg,132.0,0.4619,0.565,0.5714,0.04,9,4,False,False
100,frame_0167.jpg,66.8,0.4597,0.4222,0.4286,0.6,5,3,False,False
101,frame_0169.jpg,67.6,0.455,0.5305,0.2857,0.52,7,2,False,False
102,frame_0279.jpg,111.6,0.4489,0.4967,0.4286,0.36,6,3,False,False
103,frame_0318.jpg,127.2,0.4455,0.4521,0.5714,0.24,8,4,False,False
